id,name,vehicle_type,brand_id
a126ce32-c973-4d93-b911-11d0e67daebe,Alfetta,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
c52f6f92-6d88-492b-bb53-5be09c1bb7f4,Arna,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
05fdaf4a-7700-4da2-adb8-a2e5587ab53a,Brera,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
2893fccd-be61-4b48-a5f1-5f26a64d025d,Disco Volante,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
37ba7b61-dde3-45b8-a0ab-c2d1fa9dfceb,Giulia,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
cecfaf44-2318-4fce-afd5-d917644513e1,Giulietta,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
283400b2-a0f5-40e9-a90b-e79dfad28bce,GT,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
0fe31906-3f4b-4330-b3c9-93c8f8c53d5d,GTA Coupe,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
39d6cc7c-e615-46e8-a878-d5e59c8a4ae1,GTV,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
4a779a50-e4ab-4eac-8d99-dc8b4fd51a3b,Junior,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
8141530b-e1eb-4c6d-867f-31541a216c17,MiTo,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
0bfdba30-b0fc-41af-9c7f-92b0619136b8,Montreal,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
eb49ec66-5673-4f86-ad79-881346955f26,RZ,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
5d1f4f30-1644-455b-897d-fcef13b91660,Spider,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
de5ca1ff-2f85-4113-81c1-e040f6738ef9,Sprint,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
0560159c-cfe8-49f5-8f6e-0c7307a9702b,Stelvio,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
c4549684-a01b-47ca-9e95-148d8187ff9d,SZ,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
ee6495eb-a55e-4e0b-8a7e-3acde93ca49d,Tonale,1,b3b481bb-ccef-48aa-8a82-4c369f8d89c7
ae540f76-3063-4af3-9f65-cd326d509649,B10,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
a08efd08-41be-4a6f-a525-4ade0219b221,B11,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
6f992d3a-fb48-4785-b95d-d1d3aeb13202,B12,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
a2b6e8f1-73b1-445d-bad2-23012a24d97d,B3,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
91dbda0f-3552-40e3-909e-4cb812729fa9,B4,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
45e331ce-143a-49a8-bb53-fb74369c10d3,B5,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
65439809-cec2-4404-bcf4-929719b44a6a,B6,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
068fb1e0-e2f4-423e-b70e-c17d1219f2ab,B7,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
974f900d-ff16-433b-8109-edcb2f6c795c,B8,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
58943480-ed80-4f60-8aec-ca70b6f6662d,B9,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
7773885f-5c11-4533-9da4-cd0dc4ecd745,C1,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
7ea79c82-af6d-4d9e-9662-180f7bcc1163,C2,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
e8590b78-610a-4b5a-a664-47905fe3852d,D10,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
348c931a-489b-4a59-aa2e-a1f6941da3b8,D3,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
f2b3b94f-a6ec-44f3-a76f-959eea0ff220,D4,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
0d52f8ba-0a43-4fb0-a0c9-1025a788f2bf,D5,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
eb403a89-c50c-476d-b5c3-18644b5a2687,Roadster,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
e2572abe-2e67-45c1-98e8-b4502e58da27,XB7,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
f389068e-2279-4df7-9b9f-40867b88cb67,XD3,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
2f091758-3873-4467-804a-08b155235722,XD4,1,b4800b6f-6bb4-4022-b461-35a008c04a5d
63a0c367-9ab7-4719-9422-336ac081378d,A110,1,be240add-0dd6-4de6-9a84-18faa35c2299
d0cc6c57-0906-4e89-aa8f-8bc8f5bcd1db,A290,1,be240add-0dd6-4de6-9a84-18faa35c2299
65f556d8-97a3-41ef-b106-efc398339024,A310,1,be240add-0dd6-4de6-9a84-18faa35c2299
0db91cc4-4053-4bd7-8483-844fc99a89c8,A390,1,be240add-0dd6-4de6-9a84-18faa35c2299
